rank,type,target,score
196,TF,TF:CREM,8.625
197,Protein,Protein:BIRC5,8.625
198,Protein,Protein:CYP1B1,8.625
199,Protein,Protein:HDAC3,8.625
200,Protein,Protein:CSF2,8.625
201,Protein,Protein:JAK1,8.625
202,Protein,Protein:DNAH8,8.625
203,Protein,Protein:CD38,8.5625
204,Protein,Protein:IFNB1,8.5625
205,Protein,Protein:AOX1,8.5625
206,Protein,Protein:CSTB,8.5625
207,Protein,Protein:GRIN1,8.5625
208,Protein,Protein:ALDOB,8.5625
209,Protein,Protein:BACE1,8.5
210,Protein,Protein:TNNI3,8.5
211,Protein,Protein:PKLR,8.5
212,Protein,Protein:BECN1,8.5
213,Protein,Protein:CTSK,8.4375
214,Protein,Protein:MGAM,8.4375
215,Protein,Protein:ATF2,8.4375
216,Protein,Protein:TRPA1,8.4375
217,Protein,Protein:CDKN2A,8.4375
218,Protein,Protein:DGAT1,8.4375
219,Protein,Protein:IGF1,8.4375
220,Protein,Protein:BMP4,8.4375
221,Protein,Protein:G6PD,8.375
222,Protein,Protein:PBK,8.375
223,Protein,Protein:VCAM1,8.375
224,Protein,Protein:PRKDC,8.375
225,Protein,Protein:MAP3K1,8.375
226,Protein,Protein:PFKM,8.375
227,Protein,Protein:MIP,8.3125
228,Protein,Protein:ELANE,8.3125
229,Protein,Protein:SERPINE1,8.3125
230,Protein,Protein:AKR1C1,8.3125
231,Protein,Protein:CDC20,8.25
232,Protein,Protein:MMP14,8.25
233,Protein,Protein:CDK9,8.25
234,Protein,Protein:IGFBP1,8.25
235,Protein,Protein:OCLN,8.25
236,Protein,Protein:VCP,8.25
237,Protein,Protein:PRKCZ,8.25
238,Protein,Protein:MT2A,8.1875
239,Protein,Protein:RYR1,8.1875
240,Protein,Protein:XBP1,8.1875
241,Protein,Protein:AURKB,8.1875
242,Protein,Protein:ABAT,8.1875
243,Protein,Protein:DCT,8.1875
244,Protein,Protein:APEX1,8.1875
245,Protein,Protein:CTSS,8.1875
246,Protein,Protein:DNMT3B,8.125
247,Protein,Protein:PECAM1,8.125
248,Protein,Protein:COL1A1,8.125
249,Protein,Protein:F3,8.125
250,Protein,Protein:MAPT,8.125
251,Protein,Protein:ATP6AP2,8.125
252,Protein,Protein:PTGS1,8.125
