瓜蒌皮,寒,,,,,,,甘,,,肺,,,,,,胃,,,,,,,"['清肺','化痰','利气','宽胸']"
广藿香,,,微温,,,,,,辛,,肺,,,,,,胃,,,脾,,,,"['芳香','化浊','开胃','止呕','发表','解暑']"
桂枝,,,温,,,,,甘,辛,,肺,,心,,,,,,膀胱,,,,,"['发表','解肌','温经','通脉','助阳','化气','平冲','降气']"
诃子,,,,,平,酸,苦,,,,肺,,,大肠,,,,,,,,,,"['涩肠','敛肺','降水','利咽']"
荷叶,,,,,平,,苦,,,,,,,,,,胃,,,脾,肝,,,"['清暑','化湿','升发','清阳','凉血','止血']"
黑芝麻,,,,,平,,,甘,,,,,,大肠,,,,,,,肝,肾,,"['补肝肾','益精血','润肠燥']"
红参,,,温,,,,微苦,甘,,,肺,,心,,,,,,,脾,,肾,,"['大补','元气','复脉','固脱','益气','摄血']"
红花,,,温,,,,,,辛,,,,心,,,,,,,,肝,,,"['活血','通经','散瘀','止痛']"
红景天,,,,,平,,苦,甘,,,肺,,心,,,,,,,,,,,"['益气','活血','通脉','平喘']"
虎杖,微寒,,,,,,微苦,,,,肺,,,,,,,胆,,,肝,,,"['祛风','利湿','散瘀','止痛','止咳','化痰']"
化橘红,,,温,,,,苦,,辛,,肺,,,,,,,,,脾,,,,"['散寒','燥湿','利气','消痰']"
黄柏,寒,,,,,,苦,,,,,,,,,,,,膀胱,,,肾,,"['清热','燥湿','泻火','除蒸','解毒','疗疮']"
黄连,寒,,,,,,苦,,,,,,心,大肠,,,胃,胆,,脾,肝,,,"['清热','燥湿','泻火','解毒']"
黄芪,,,微温,,,,,甘,,,肺,,,,,,,,,脾,,,,"['补气','固表','利尿','托毒','排脓','生肌']"
黄芩,寒,,,,,,苦,,,,肺,,,大肠,,小肠,,胆,,脾,,,,"['清热','燥湿','泻火','解毒','止血','安胎']"
僵蚕,,,,,平,,,,辛,咸,肺,,,,,,胃,,,,肝,,,"['祛风','定惊','化痰','散结']"
降香,,,温,,,,,,辛,,,,心,,,,,,,脾,肝,,,"['行气','活血','止痛','止血']"
芥子,,,温,,,,,,辛,,肺,,,,,,,,,,,,,"['温肺','豁痰','利气','散结','通络','止痛']"
金荞麦,,,,凉,,,,,微辛,,肺,,,,,,,,,,,,,"['清热','解毒','排脓','祛瘀']"
金银花,寒,,,,,,,甘,,,肺,,心,,,,胃,,,,,,,"['清热','解毒','凉散','风热']"
京大戟,寒,,,,,,苦,,,,肺,,,,,,,,,脾,,肾,有毒,"['泻水','逐饮','消肿','散结']"
荆芥,,,微温,,,,,,辛,,肺,,,,,,,,,,肝,,,"['发表','散风','透疹']"
荆芥穗,,,微温,,,,,,辛,,肺,,,,,,,,,,肝,,,"['解表','散风','消疮','透疹']"
桔梗,,,,,平,,苦,,辛,,肺,,,,,,,,,,,,,"['宣肺','祛痰','利咽','排脓']"
菊花,微寒,,,,,,苦,甘,,,肺,,,,,,,,,,肝,,,"['散风','清热','平肝','明目']"
苦杏仁,,,微温,,,,苦,,,,肺,,,大肠,,,,,,,,,,"['降气','止咳','平喘','润肠','通便']"
款冬花,,,温,,,,微苦,,辛,,肺,,,,,,,,,,,,,"['润肺','下气','止咳','化痰']"
莱菔子,,,,,平,,,甘,辛,,肺,,,,,,胃,,,脾,,,,"['下气','祛痰','消食','化积']"
连翘,微寒,,,,,,苦,,,,肺,,心,,,小肠,,,,,,,,"['清热','解毒','消肿','散结']"
羚羊角,寒,,,,,,,,,咸,,,心,,,,,,,,肝,,,"['平肝','息风','清肝','明目','散血','解毒']"
芦根,寒,,,,,,,甘,,,肺,,,,,,胃,,,,,,,"['清热','生津','除烦','止呕','利尿']"
鹿角胶,,,温,,,,,甘,,咸,,,,,,,,,,,肝,肾,,"['补肾','益肝','养血','益精']"
鹿茸,,,温,,,,,甘,,咸,,,,,,,,,,,肝,肾,,"['壮肾阳','益精血','强筋骨','调冲任','托疮毒']"
麻黄,,,温,,,,微苦,,辛,,肺,,,,,,,,膀胱,,,,,"['发汗','散寒','宣肺','平喘','利水','消肿']"
麦冬,微寒,,,,,,微苦,甘,,,肺,,心,,,,胃,,,,,,,"['养阴','生津','润肺','清心']"
麦芽,,,,,平,,,甘,,,,,,,,,胃,,,脾,,,,"['行气','消食','健脾','开胃','退乳','消胀']"
芒硝,寒,,,,,,苦,,,咸,,,,大肠,,,胃,,,,,,,"['泻热','通便','润燥','软坚','清火','消肿']"
绵马贯众,微寒,,,,,,苦,,,,,,,,,,胃,,,,肝,,,"['驱虫','止血','清热','解毒']"
墨旱莲,寒,,,,,酸,,甘,,,,,,,,,,,,,肝,肾,,"['滋补','肝肾','凉血','止血']"
牡丹皮,微寒,,,,,,苦,,辛,,,,心,,,,,,,,肝,肾,,"['清热','凉血','活血','化瘀']"
木蝴蝶,,,,凉,,,苦,甘,,,肺,,,,,,胃,,,,肝,,,"['清肺','利咽','疏肝','和胃']"
南沙参,微寒,,,,,,,甘,,,肺,,,,,,胃,,,,,,,"['养阴','清肺','益胃','生津','化痰','益气']"
牛蒡子,寒,,,,,,苦,,辛,,肺,,,,,,胃,,,,,,,"['疏散','风热','宣肺','透疹','消肿','解毒']"
佩兰,,,,,平,,,,辛,,肺,,,,,,胃,,,脾,,,,"['芳香','化湿','醒脾','开胃','发表','解暑']"
枇杷叶,微寒,,,,,,苦,,,,肺,,,,,,胃,,,,,,,"['清肺','止咳','降逆','止呕']"
蒲公英,寒,,,,,,苦,甘,,,,,,,,,胃,,,,肝,,,"['清热','解毒','利尿','散结']"
前胡,微寒,,,,,,苦,,辛,,肺,,,,,,,,,,,,,"['发表','镇痛','降气','化痰']"
羌活,,,温,,,,苦,,辛,,,,,,,,,,膀胱,,,肾,,"['解表','散寒','祛风','除湿','止痛']"
