,黄连,土茯苓,鹿茸,白头翁,肉苁蓉,白芷,元胡,鸦胆子,五味子,京大戟,墨旱莲,侧柏叶,首乌藤,黄柏,黑芝麻,粉萆薢,泽兰,降香,北沙参,川贝母,车前子,大枣,大青叶,大黄,大腹皮,丹参,干姜,化橘红,木蝴蝶,牛蒡子,人工牛黄,三七,山豆根,山柰,山茱萸,山药,山楂,升麻,水牛角,天花粉,白术,白茅根,白前,白扁豆,百合,赤芍,陈皮,地龙,地骨皮,地黄,豆蔻,防风,瓜蒌,瓜蒌皮,红花,红参,红景天,诃子,芥子,芦根,连翘,牡丹皮,麦冬,麦芽,佩兰,羌活,忍冬藤,生姜,石菖蒲,玄参,西洋参,玉竹,竹茹,荜茇,穿心莲,独活,金荞麦,金银花,姜半夏,荆芥,荆芥穗,南沙参,青果,青蒿,青黛,前胡,砂仁,威灵仙,香附,党参,鱼腥草,茵陈,板蓝根,枇杷叶,法半夏,泽泻,炙甘草,炙黄芪,知母,细辛,苦杏仁,虎杖,郁金,枳壳,枳实,栀子,淡竹叶,淡豆豉,鹅不食草,桂枝,葛根,荷叶,黄芩,桔梗,菊花,款冬花,莱菔子,鹿角胶,绵马贯众,麻黄,蒲公英,清半夏,射干,桑叶,桑枝,桑寄生,桃仁,通草,葶苈子,徐长卿,浙贝母,猪苓,紫苏叶,紫草,紫菀,艾叶,川射干,蝉蜕,丁香,附子,蜂房,广藿香,僵蚕,羚羊角,芒硝,苏合香,麝香,雄黄,豨莶草,薏苡仁,石膏,当归,黄芪,苍术,肉桂,川芎,甘草,芍药,人参,茯苓,熟地黄
REACTOME_GABA_B_RECEPTOR_ACTIVATION,1.93318051312217,-1.620976637,1.06003344070728,1.23873720311172,-0.945747795877268,-1.28572769048189,-1.36578755883198,-0.724226943161226,-1.25946759362302,-0.871128521946698,0.705315810765225,0.665243842347592,0.904733671029371,0.809792395844841,1.1008828792389,0.754326336654186,0.878201916316655,-0.959523607852629,1.10455474172642,-1.206235224,1.09022387691159,-1.137925821,-0.97715124,-1.025023201,-1.346367045,-0.848455372,-1.122184679,-1.297274706,-0.991397101,-1.222053379,0.902801987908063,1.08236547071812,0.595906509292215,0.553923066207888,-1.251945983,-1.223756027,-1.101523465,1.28912051299124,1.14814340970441,-0.998444473,-1.147958457,0.78044847368676,0.94303645026427,0.817504862585097,-0.791983849,-1.044187863,-1.148579294,-0.853897752,-1.266282306,-1.008717716,-0.810599307,1.08371301877988,-0.886093308,-0.97411154,-1.515207865,-0.973083525,0.750215807051184,0.875109175112502,1.35188631923313,-0.716093204,-0.81542494,-1.364820582,-0.937696305,-0.925634156,1.25613802344825,1.1316510829075,0.83789757755089,-0.988174065,-0.798364103,0.856238835482604,0.957769797172448,-1.299900438,-1.036799809,1.08205299862219,0.859448687410793,0.863881670681055,1.25469853682716,-1.277000856,0.765055448838214,-0.935724792,0.821817778253064,-0.958993302,0.744898272909051,0.753344761871786,-0.641805693,1.25086697942113,0.94735664931938,-1.28182343,1.44214332203807,-0.933946893,-1.201978613,0.789604365971398,0.833204521210119,0.70902217623364,1.36696151422089,1.68386145937457,1.74586091826703,-0.494087372,-1.122633004,1.49701833676148,1.04832617456521,-0.871496984,1.35269685442015,0.809115721591967,0.790392657907445,1.15929690433084,-1.062496689,0.751567823154386,1.43269157514434,1.43894174686694,1.06438992024478,0.954342707766144,1.27365639782341,1.1092858250613,0.930837317395282,0.787404663583837,0.836816969332042,-1.017973406,1.13993641806616,1.39055534614542,-0.887297847,1.04079661543591,-1.016277181,-0.649402236,0.728003006661737,1.18719264632337,1.01440095240335,1.05332000093681,1.2750596734034,1.70045180845689,-0.717783699,0.961002068582654,1.24826457927831,1.57901454911147,-0.486288293,1.37101494708536,1.19336007481763,-0.564479808,-1.015225713,-0.907922396,-0.823433733,-1.544835348,1.13427824200087,0.764503590735512,-1.348895445,1.36145951472064,-1.256480543,-0.700538047,1.62733634166755,-1.148270153,-0.914923939,1.17544983481107,-0.971491656194145,-1.02490605590454,1.1418860899326,1.28788879642907,-0.973287268030818,-1.10509127901606,1.39782265123859,1.04534303671649,1.36811695364263
WP_NEURODEGENERATION_WITH_BRAIN_IRON_ACCUMULATION_NBIA_SUBTYPES_PATHWAY,1.91808937467226,0.9891358097135,0.784921035185011,0.847722001430014,-0.680302217043376,0.696644780239738,0.461479709224008,-0.944523281712203,-0.651447318843289,-1.01958984150475,-0.716111112863059,-1.22103144055509,0.625990810158035,-1.01523463539281,0.753612605233554,-0.99879047967316,0.867155020091558,-1.47701947882283,0.690410417699955,-0.941398789,-1.167436736,-0.92976874,-0.62592437,-0.92974309,-1.068876925,-0.754168485,-1.212257636,-0.69729296,-0.653210872,1.31516177212028,-0.936421712,-0.533575854,-0.701748785,-1.392079278,-0.651114527,0.523087410104543,-0.808815323,0.981419279053698,-0.826335782,-1.253900302,-0.568424041,0.684796908354819,0.776835365648895,0.631127192549107,-0.833823488,-1.242467165,-0.573423081,-1.055199296,-0.783559868,-1.003791786,-0.621535024,1.14397159735589,-1.029800491,-0.586200606,-0.696211582,-1.124949502,-0.62173671,0.970072885144879,0.39082746968838,-1.094381344,0.546113623048832,-0.804315939,-0.970933396,-1.135509169,0.886012150467884,-0.926019789,-1.236309022,-1.045928414,-0.981924626,-1.049713989,0.590054260377079,-0.500681731,-0.948870176,-0.936779467,-0.577674611,0.567728923836387,-1.372558891,-0.857307621,-0.721509709,-1.044512403,-1.273761743,-0.944500336,0.753477456587864,-1.140286555,-0.726348493,-0.963798273,0.618892423955784,-0.818745641,-0.657117301,-0.511409538,-0.540596941,-0.960861563,0.746215756651012,1.07725352985933,0.642774912052517,-0.852810045,0.918812603025887,-1.018310738,-1.186898911,-1.039399252,0.766046767334522,-1.16994962,0.802471369457913,-0.751757111,-1.145001047,-1.12122855,-1.126949695,-0.67084857,-0.956524111,-1.407871582,0.664163507513759,0.783171277796756,0.793109571730771,0.565303140015738,-0.927657366,0.533974757066335,0.840199678542842,0.530484415793124,0.555016024182364,0.810462416083421,0.962052438599343,1.03400536520395,0.858195017589514,-0.756967221,0.732961393311936,-0.521893661,1.35334040032473,0.703401739240635,0.722808431015804,1.23725384076464,-0.786113223,0.727888504533242,0.676352841956914,0.714622139832357,1.13313861370909,-1.020466299,1.13880889256698,0.657129345311036,-0.646022681,-0.892202155,-0.738864825,1.26599653057663,0.683633383826767,0.896718666462083,-1.216939001,0.878264792159912,-0.794903097,0.572171470327128,-0.724519787,0.913763832661438,-0.632941577,-0.498922875121678,0.920738717932828,-0.597982721366597,-0.677559277710037,-0.770733850916245,-0.696783389229466,0.572082609314461,-0.622329500131282,-0.560056468438023,-0.678751852069798
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS,1.83632874876828,-1.512242153,0.882248806192849,1.06375709525981,-1.16283462808355,-0.987852763455494,0.835396320374588,0.969347044998701,-1.03152482525836,-0.989624668958281,0.679402765632825,1.04962501845487,0.950221867894981,1.05477938983072,1.05181343768654,0.769263852820739,1.07773522842199,0.982726817458327,1.19659780364974,-1.292237827,0.919625313873315,-1.262511242,-1.05642317,-1.092599145,-1.120197583,-1.193861248,-0.821533393,-1.176230054,-0.977296568,-1.337188609,0.931621766679397,1.0540133449246,0.689623525432208,0.713131197621208,-1.304225096,-1.210063168,-0.624813131,1.20226257089478,1.30594179530623,-0.791587872,-1.363274086,0.535984858506013,1.17441679928766,1.11603923081001,1.12644244542669,0.545394664586869,-1.129137929,-0.990256102,-1.20758232,-0.957088758,-0.769935284,1.05796857374161,-1.20581117,-0.755658913,-1.250394523,-0.944400127,0.896678778598941,1.24709210263112,1.38131062565901,-0.661400017,-0.525942105,-1.030440608,-0.985814489,-0.802376599,1.25537712004816,1.29747610650947,1.118023045,0.744342305381421,-0.495234215,-0.657759517,0.834166122320783,-1.175463226,-0.693358598,0.94657209888455,1.05092822167396,0.668800515733547,1.4533286235994,-1.285784345,-0.626221904,-1.028558529,1.01401406963129,-1.031945758,0.857525253974626,0.854920978332475,-0.88314321,1.59429645883332,0.51201749327871,-1.417987212,1.0771024188571,-1.323547944,-0.474491998,0.637905258882622,1.02525435862182,-0.878859759,1.12344202744536,1.2329768218436,1.58146514455601,0.669717279613144,-1.214275112,1.44525263779138,0.834304812017651,-0.882803426,1.05392623762572,0.753298688455854,-0.531535768,-0.709189545,-0.813805869,0.90360192554913,1.44528002807006,1.35552103031772,0.945896059746027,0.931823268468379,1.36416368455628,0.772900866595178,1.08191947692892,0.798023383775691,0.968320762562823,-1.576635298,1.08540526865296,1.28693875059898,-1.352237564,0.881986197295121,-1.250628609,-1.244445732,-0.86396823,1.00620031752527,1.11085283506166,1.05794668917357,0.473379327393742,1.61118878972288,-0.892550878,0.584952069289804,1.02869878582927,1.3679577073654,-1.102325349,1.35200787787917,1.0256907042503,0.537587393629076,0.537376805485573,0.717279060947337,-1.13015702,-1.457281903,1.2290312095593,0.852387939322887,-1.345417619,1.33103107708918,-1.165709001,0.789314431629254,1.59788672528047,-1.074301679,-0.979791153,1.0238762527185,-0.983460935142416,-1.02449275254212,0.954690933895875,1.2726028452611,-0.878132874522925,-0.911538970431454,1.01970116106462,1.03553891409217,1.70183662039432
KEGG_REGULATION_OF_AUTOPHAGY,1.80068234248281,0.976004995258626,-0.807249661540368,-0.635085432441582,-1.00888147892843,-0.884883943770372,0.452755446934494,-1.07577911206468,-0.611033852380949,1.03897741747437,0.852256100239733,1.38047651416092,0.793305207534887,1.14854821334781,1.12966192522521,1.05557729941412,0.99285969452073,0.87577642614685,0.964211829636181,-0.964459877,0.795572283988096,-1.010544573,0.982334080058525,-1.115410967,0.606137353258402,-0.772052837,1.09030023336237,-0.922807581,-0.53292,-0.786123765,-0.876438611,0.948355589320891,0.897555671797277,-1.136558386,-0.410515561,-0.985870176,0.77768127263311,1.09330130517465,1.19717890180063,-0.657828771,-0.62567011,-0.622091243,0.543917720846732,-0.577330284,-1.053817373,0.496084029656139,-0.86398693,-1.341575653,-0.935561288,-0.770465425,0.771735963185223,0.737392051507659,-0.898688335,-0.857609475,0.823729662926455,-0.782385461,-0.738697314,0.969359645351016,0.479089457387851,-0.606682141,-0.579134936,1.0529129357347,0.597648367073956,1.02366212149811,1.01659425708227,0.914135855049747,-0.589583768,0.988768922744374,0.646825680223063,-0.950819041,-0.585266882,-0.487629173,0.869972021496704,0.841981622123034,0.973200808992914,-0.850792825,0.707967784051973,0.620985929026446,-0.913843223,-0.52552271,-1.52393115,-0.561160546,0.696135122126935,-0.780394756,1.49381694612788,-0.735025678,0.790005502031487,-0.719773292,0.939525906967118,-1.027928591,-0.737999628,0.67336094216401,-1.108941744,1.08745016111998,1.02751086131137,1.13409626931086,1.03306739362241,1.01197337904375,-1.038815594,-1.059916572,-0.622961408,-0.666669763,1.09597298034349,0.704020854673738,1.40720240549892,-0.847711149,-0.536639159,-0.746451626,-0.41430315,-1.383793296,0.677983501292164,0.579265750780999,1.16808344870652,0.822442216556587,0.745634134604438,-0.940313429,-0.699679143,0.581655417422369,0.462764748109588,0.747866269093455,-1.147768917,-0.739973305,0.882533036934377,-0.51123404,0.951341723972068,0.552395637735139,1.26845506917261,-0.547334353,-0.816839978,0.998201742737633,-0.527818934,1.14974863501227,0.96349591154281,1.30935868115255,1.01073996380464,-0.763106206,0.836448331562013,-0.616286096,0.764731891699268,-1.248866365,0.641839285380385,-0.73193716,0.768465341507745,0.731998774947079,-1.259813017,0.696681318633943,-1.240697643,0.970975122234648,-1.44999966,-1.076735601,-0.95308861,1.21542376440332,1.03884291990536,1.0763637878645,0.886086903732383,1.1947426180737,1.54896647947946,1.22769113223292,-1.24489346485826,0.688578681756943,1.21841001205325
REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS,-1.79649355925213,0.0,-0.922814565955401,-0.705669580327451,1.61931221973263,1.45350108993848,1.13770107642959,1.52801170278202,1.27899668428771,0.567909757362556,1.48213179014729,1.34028074115026,1.42306433437101,1.70114712567249,1.30745315172429,1.38974481266149,1.31514522339804,1.33512047994345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.48766785239891,-0.968409387569286,1.19118860779784,-1.44419462521462,1.421376120032,-1.388453751448,-1.24275679171569,-1.72056776210516,-1.20883667214147,-1.40286474868079
WP_DISORDERS_OF_BILE_ACID_SYNTHESIS_AND_BILIARY_TRANSPORT,1.78753534744675,1.66658380397525,1.63082381974043,-0.828515282806421,1.70424659140416,-1.34064563486237,-0.856137054283712,0.913696828190859,1.37308335179146,0.704866415616143,1.6140243008515,1.43127741519542,1.27914798421875,1.43845309108383,1.3139176605317,1.46838043551316,1.26166585576597,1.68282616017955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46743765356366,1.89150469885434,1.00810252918312,1.5126547599232,1.52890102967214,1.20985424233235,1.54094666784912,1.37936110204064,1.23352305600563,1.53056028389815
KEGG_APOPTOSIS,-1.75835752881859,-0.57917054,1.031083447386,1.27908107424658,-0.452912195677447,-0.904607475335507,0.728706559439705,-1.15512611177828,-0.649548250467792,1.77446536001028,-0.937387672872568,-1.11927820820692,0.656831743745955,0.876018667592618,0.649480908757778,0.496834980998371,0.521909890869262,-1.15857941038658,1.07216816881139,-0.710026668,-1.088177651,-0.919684157,-1.160689041,-0.833830115,-0.915464232,1.02231680866916,1.29412515661848,-0.812590007,-0.821576925,-1.019810805,-1.098353101,-1.41029663,-1.130251021,-1.143872582,-1.137465359,-1.054550014,0.772201954957876,-1.402387958,-0.990474216,-1.036738232,-1.171473777,-0.925167255,-1.036244735,-0.864104878,-1.16131866,-1.038216764,-0.797997757,-1.023920783,-0.836829306,-0.617758527,-1.332506377,1.04625960239185,-0.75863256,-0.883517808,-0.791650004,-0.842979901,0.636651859723107,1.25181339340087,0.784293411390775,-1.083875502,-0.778039469,-0.80791449,-1.192621372,-0.914275328,0.920262803523955,0.675175942315465,-0.791226118,-1.598166639,-1.157575237,-0.709427635,-0.865100193,-1.224676998,-0.880074965,-1.016981054,-0.812642489,-1.105393246,-0.765236224,-0.554061943,-0.908436655,0.773367297967284,-1.132285166,1.09067469553147,0.908225564347269,-0.956821573,0.830997056413257,-1.139328266,0.703948776285685,-0.576504388,-0.874276817,1.06255026062452,-1.304042133,-0.693565675,-0.729734385,-0.916136458,-0.778773959,0.905653708891673,1.15189447243613,0.639917668132939,-0.739197851,-1.705251347,0.866640514208107,-1.096804209,-0.866426754,-0.654996258,0.761435641590198,-1.023207463,-0.802434535,0.979435404340257,-1.171032294,-1.348299554,0.95565344152053,-1.014342817,0.935805175410095,0.817531875002786,-1.232240079,0.882960923893814,0.773481411919435,-0.893211366,0.560645702504049,1.16018750055123,-0.946972341,-1.061738125,-1.100112343,-0.810733075,-1.371091549,-0.772399577,0.880907555548691,-0.856363013,0.798618273184159,1.01264224015122,-0.964143882,-0.886848507,0.841263390095632,-1.032023648,-0.769339448,-1.296135829,-0.741313678,0.708233447738957,0.698420463745144,-0.888517595,-0.712789417,0.827740803646846,-0.849635914,0.966488452542703,-1.015935309,0.795111594612398,-0.966364948,-1.311111619,-1.104007737,-0.901430787,-1.218257996,0.894172183175963,0.829558629243706,-1.12706118425626,-0.816054767750042,0.649383476839678,-0.622405350928694,0.776607730812165,-0.778201268678656,-0.513261325109053,0.70999586847845
REACTOME_STRIATED_MUSCLE_CONTRACTION,1.72583574569144,-1.638892091,-1.23832298233219,-1.2111862008369,-2.04405128545292,1.37738848632645,1.79836702873146,-0.957599068176618,0.921972528476012,-2.23016175123799,0.752304291717279,-0.590610376153688,1.35525480353269,1.2180165815499,1.36385740301416,1.65381753805164,1.09242061662577,1.68668923005341,0.974248770161328,-1.075034685,-0.85131743,1.19618667578881,-0.756346536,1.0064086813681,1.33000773084023,1.25086195944152,1.14990492767441,-0.760440023,0.702384444209848,-0.996221033,1.57992837333853,-1.02409197,1.16107667052888,1.17717061834862,-1.030514553,-1.280348609,0.94374437588349,1.64738691358046,1.92834199238102,-0.714833904,-1.236627313,-1.322492825,0.884630862018292,-1.171790651,-0.98423916,-1.261229226,-1.028464358,0.944090072559987,-1.31517556,-1.418540884,-1.488925532,1.1318369183276,-1.428536537,-0.664270294,-1.116168738,-1.491773145,1.00239477891178,1.29568238684625,0.955547215046534,-1.50956332,-0.771572848,-1.178002365,-1.628979498,-1.632070757,1.52765767037648,1.24307644110889,-0.882532791,1.17094279322024,-0.656164171,-1.276194749,-0.961753214,-1.572091138,-1.598711665,1.42770431769341,1.50977714626504,1.71341920382979,1.52137882627817,-0.872902131,1.33810586689662,-1.527111945,1.78890775787588,-1.345779024,1.07878711339983,1.08128659987861,-1.264037335,1.58792921847344,1.43238019368208,-1.132611279,0.873059002840695,-0.70932877,1.30525568765358,-0.695917349,-0.780127323,1.60103676429945,1.49745079034227,0.787826888579256,1.55006686758331,0.948745457341412,0.667457384348041,1.6751553785585,1.29486105440383,1.36962421310105,1.26593527575426,-0.983530377,1.30127261578074,1.03405704264509,0.948949829030725,0.810087498,1.78742136801764,1.42113460785179,1.2202885659768,1.11116454049922,1.43824257478248,1.32977399262638,1.01187513791991,0.745064756527023,1.07611554053388,0.883424065685876,1.37681535277864,0.615979146930092,0.819708993400747,1.49019488617369,0.808640715875868,-0.97715449,1.42481990621835,1.63304368760978,-0.930388447,1.45776994635955,-0.966108421,1.21025520032044,0.802556658907757,1.65170689660175,1.11582692818381,1.76821905592849,1.05848627161077,1.32810103274547,0.941625442926936,1.40770846588302,1.29031181687432,-1.322273567,1.37088234928063,-1.152465485,1.46340220729388,1.41141400886284,-1.523160799,1.30833637136033,-0.892219279,1.23651686978718,1.5917053772793,1.25545363859077,1.19240482006263,-0.981651213267721,-1.67570422332482,-1.34334138188549,-1.18806755185736,-1.82696048081105,-1.58139937521992,-1.45590584861682,-1.69650592488584,-1.45401934508022,-1.77787486648119
PID_S1P_S1P3_PATHWAY,-1.7248487410758,-1.665922115,1.00909589621273,1.30052154731345,-0.554792205299303,-0.619006043685056,0.578861231361268,-1.54745499668977,0.944422198415358,1.35344503836695,-0.875652479387587,-1.17188436015946,0.668517053778444,0.648578921644049,0.738889225847244,-0.784021445544639,0.843605989008052,-1.31115580370304,1.06617829471761,0.969981569781542,0.790413397414556,0.994232343871816,0.756170457331867,0.570287842570151,-0.713779405,1.00656978993645,-0.613583484,0.864803026189409,-0.565431258,-0.54933217,1.06704713579705,-0.992590228,0.96132866105008,1.20354294037821,-0.990195522,1.384917785,0.684177275776781,1.11864345707065,1.51294887495374,1.31271584312567,-1.14124671,0.747313112757721,-1.103303472,-0.692614129,0.738620315150863,-1.049670872,-0.887958432,-0.982107974,-0.608535102,-1.020513177,-0.797907085,0.979093983500301,-0.586964227,-0.67058875,-0.723289082,-1.095498587,-0.915262449,0.541449208976107,1.03717698425813,-1.114701322,-1.016307502,-0.649999051,-0.846035388,-0.85342684,0.856023648974243,0.65377685600381,1.09917407892609,-0.793284022,-0.751616832,-0.645899151,-0.850321747,-0.990202195,-0.757359303,-0.966397192,-1.11155109,1.49024169983257,1.07303628872781,1.00514288848854,1.3671281528906,0.710457269971062,0.747421419703473,0.948386249474605,0.948295501377533,1.34521836209489,0.9523928688758,0.653342798741491,0.580168879138641,0.970869457715295,0.944527816249482,0.937399827635125,-0.746552871,1.54626594428652,-0.775649416,-0.849800375,1.13098571595884,-1.149184643,1.09670732116592,0.860024413972574,-0.785818541,-1.156352807,1.24299172842282,-0.994561021,-0.866774861,-1.349611827,-0.757652018,0.842507365106931,1.02265280146258,-0.915391904,-0.788051912,-0.947238649,1.21170615279333,0.889684069741949,1.04195800218193,1.10447119507607,-0.613078153,-0.593099444,0.811238432126867,0.765916193078352,-0.94642695,1.19324929651073,0.994495589466897,1.25928264376189,-0.914200588,0.914666405689338,0.573662802451903,-0.801312825,1.31246224263497,0.79915222458158,1.16637527168255,1.27053377253174,0.952540547362561,0.693010333344526,1.31018611387347,-0.747891597,1.06360137185623,-1.035291512,-0.991849635,-0.853950026,1.05969536495241,-0.614015649,-0.905314302,-0.701173621,1.1201407341489,0.942989164597083,-0.649446249,0.883046022518933,-0.820751596,-0.70055089,-0.913360459,-0.708266906,1.12643382492957,-0.960679203615269,0.855346430801397,-0.989587286930206,-1.05539606342215,-0.639823101261559,-1.03333614671011,-0.713411377287261,-0.795171159190927,-1.33938581584569,0.509416153385888
PID_CASPASE_PATHWAY,-1.70217731382394,-0.815814455,1.03496518112523,1.47366376739425,-0.723401512536295,-1.0701489020775,-0.913384365141254,-1.38041106197573,0.704193699993687,1.84544107115095,-0.881090469985641,-1.30922098645376,0.753250065490788,0.38450704373554,0.445757978949217,-0.568919204723802,-1.29235419234549,-0.864011183913058,-0.747897392,-0.578618105,-0.936693036,-1.124149356,-0.866930974,-0.982533691,0.708161027675874,-0.866369462,0.917923366985461,-0.742684647,0.491318718126642,-1.313896761,-1.305249599,-0.84995506,-1.30317976,-1.093526385,-0.653100051,0.605456947212148,-0.8936044,-1.305959624,-1.088387756,-1.028990708,-1.023325308,0.773742243515996,-1.144738891,-0.991985278,-0.797253162,-0.57958969,-0.712384835,-0.803175474,0.818198924543219,-0.433168518,-0.896770068,0.597796450987596,-0.520717261,-0.969508261,-0.695101704,0.667157122315975,-0.808863105,0.981508697162151,0.559861946771845,-0.815294774,0.855034492413087,0.985281136337494,-0.667371463,-0.632564694,-0.721925231,-1.092413025,0.827249086857083,-1.570248937,-1.478915911,-0.5926807,-0.988944415,-1.047186688,0.71718400244447,-1.461246761,-0.940708618,-1.143955156,-1.401652481,-0.972146586,-0.907789018,-0.982244261,-1.923282677,-1.128868098,0.627073610404984,-1.090236511,-0.878918219,-1.530606853,-1.31899394,-0.894866213,-1.289901943,-0.732098069,-1.0726809,-0.794054964,-0.966505308,-1.407810585,-0.871686233,-1.415685359,0.672536677633432,-0.765356278,-0.71210018,-1.448165668,-0.90738826,-1.445995521,-0.968194054,-0.581516922,-0.813757428,-0.794092917,0.728574853493323,1.07429039322398,-1.00261215,-2.121419519,0.81288143587844,-0.885234121,0.653847626917228,0.782242828345281,-0.851196031,0.655689690216352,0.725491470238516,-0.58851043,-1.09139319,0.697721217836536,-0.691544707,0.728742687430397,-0.56182666,0.880894444421423,-0.725149,-1.026354402,1.1145921570764,-1.135237801,-0.927138081,-0.758616485,-0.768314868,-0.853318727,-1.05346848,-1.264802263,-0.718588696,-0.976852854,-0.739088082,-0.747629076,-1.486260246,-0.644614787,-0.917235158,-0.999010439,-1.341037588,1.00791428553236,-0.81228968,-1.278578289,-0.631046038,-1.29855967,-1.378370213,-1.381390545,-0.575728666,-0.755487162761775,0.708922738101126,0.484076986137338,0.524091701705282,-0.714435504570392,-0.61513820497652,1.04327827717396,1.02174679684856,-0.473412179851532,-0.71466721084935
